Time (sE-1),Position,Force
26,68.20,0.74
26.1,70.20,0.73
26.2,72.04,0.73
26.3,73.71,0.72
26.4,75.21,0.71
26.5,76.52,0.70
26.6,77.65,0.69
26.7,78.59,0.67
26.8,79.34,0.66
26.9,79.88,0.64
27,80.22,0.62
27.1,80.36,0.60
27.2,80.29,0.58
27.3,80.01,0.55
27.4,79.51,0.52
27.5,78.81,0.50
27.6,77.89,0.47
27.7,76.77,0.43
27.8,75.43,0.40
27.9,73.89,0.37
28,72.14,0.33
28.1,70.19,0.30
28.2,68.04,0.26
28.3,65.69,0.22
28.4,63.15,0.18
28.5,60.43,0.14
28.6,57.53,0.10
28.7,54.45,0.06
28.8,51.21,0.02
28.9,47.81,-0.02
29,44.26,-0.06
29.1,40.56,-0.11
29.2,36.73,-0.15
29.3,32.78,-0.19
29.4,28.70,-0.23
29.5,24.53,-0.27
29.6,20.26,-0.31
29.7,15.90,-0.35
29.8,11.47,-0.39
29.9,6.98,-0.43
30,2.44,-0.47
30.1,-2.14,-0.51
30.2,-6.75,-0.54
30.3,-11.37,-0.58
30.4,-16.00,-0.61
30.5,-20.62,-0.65
30.6,-25.22,-0.68
30.7,-29.78,-0.71
30.8,-34.29,-0.73
30.9,-38.75,-0.76
31,-43.14,-0.78
31.1,-47.45,-0.81
31.2,-51.66,-0.83
31.3,-55.76,-0.84
31.4,-59.75,-0.86
31.5,-63.61,-0.88
31.6,-67.33,-0.89
31.7,-70.90,-0.90
31.8,-74.31,-0.91
31.9,-77.54,-0.91
32,-80.60,-0.91
32.1,-83.47,-0.91
32.2,-86.14,-0.91
32.3,-88.61,-0.91
32.4,-90.86,-0.90
32.5,-92.89,-0.89
32.6,-94.70,-0.88
32.7,-96.27,-0.87
32.8,-97.61,-0.85
32.9,-98.70,-0.84
33,-99.55,-0.82
33.1,-100.14,-0.80
33.2,-100.48,-0.77
33.3,-100.57,-0.75
33.4,-100.40,-0.72
33.5,-99.98,-0.69
33.6,-99.29,-0.65
33.7,-98.35,-0.62
33.8,-97.16,-0.59
33.9,-95.71,-0.55
34,-94.01,-0.51
34.1,-92.06,-0.47
34.2,-89.87,-0.43
34.3,-87.44,-0.39
34.4,-84.78,-0.34
34.5,-81.89,-0.30
34.6,-78.78,-0.25
34.7,-75.46,-0.21
34.8,-71.93,-0.16
34.9,-68.20,-0.11
35,-64.29,-0.06
35.1,-60.20,-0.02
35.2,-55.94,0.03
35.3,-51.52,0.08
35.4,-46.96,0.13
35.5,-42.26,0.18
35.6,-37.43,0.23
35.7,-32.50,0.27
35.8,-27.46,0.32
35.9,-22.34,0.37
36,-17.15,0.41
36.1,-11.90,0.46
36.2,-6.60,0.50
36.3,-1.26,0.54
36.4,4.09,0.58
36.5,9.45,0.62
36.6,14.79,0.66
36.7,20.12,0.70
36.8,25.41,0.73
36.9,30.64,0.76
37,35.82,0.79
37.1,40.91,0.82
37.2,45.92,0.85
37.3,50.82,0.87
37.4,55.60,0.90
37.5,60.25,0.92
37.6,64.76,0.94
37.7,69.11,0.95
37.8,73.30,0.97
37.9,77.31,0.98
38,81.13,0.99
38.1,84.76,0.99
38.2,88.17,0.99
38.3,91.37,1.00
38.4,94.34,0.99
38.5,97.08,0.99
38.6,99.57,0.98
38.7,101.82,0.98
38.8,103.81,0.96
38.9,105.54,0.95
39,107.01,0.93
39.1,108.20,0.91
39.2,109.13,0.89
39.3,109.77,0.87
39.4,110.14,0.85
39.5,110.23,0.82
